"Station Name","VANCOUVER INTL A"
"Province","BRITISH COLUMBIA"
"Latitude","49.19"
"Longitude","-123.18"
"Elevation","4.30"
"Climate Identifier","1108395"
"WMO Identifier","71892"
"TC Identifier","YVR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"M","Missing"
"E","Estimated"
"NA","Not Available"
"**","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-08-04 05:00","2013","08","04","05:00","**","16.4","","15.1","","92","","12","","4","","32.2","","101.76","","","","","","NA"
"2013-08-04 06:00","2013","08","04","06:00","**","16.9","","15.4","","91","","16","","3","","24.1","","101.77","","","","","","NA"
"2013-08-04 07:00","2013","08","04","07:00","**","18.0","","16.5","","91","","32","","4","","19.3","","101.80","","","","","","Cloudy"
"2013-08-04 08:00","2013","08","04","08:00","**","18.6","","16.6","","88","","31","","8","","19.3","","101.80","","","","","","NA"
"2013-08-04 09:00","2013","08","04","09:00","**","19.3","","16.2","","82","","32","","18","","24.1","","101.80","","","","","","NA"
"2013-08-04 10:00","2013","08","04","10:00","**","20.5","","16.6","","78","","31","","13","","32.2","","101.77","","26","","","","Mostly Cloudy"
"2013-08-04 11:00","2013","08","04","11:00","**","20.4","","16.7","","79","","28","","12","","32.2","","101.75","","25","","","","NA"
"2013-08-04 12:00","2013","08","04","12:00","**","21.2","","16.5","","74","","26","","13","","32.2","","101.73","","26","","","","NA"
"2013-08-04 13:00","2013","08","04","13:00","**","21.7","","15.9","","69","","28","","12","","32.2","","101.68","","26","","","","Mainly Clear"
"2013-08-04 14:00","2013","08","04","14:00","**","22.1","","15.8","","67","","26","","14","","32.2","","101.60","","27","","","","NA"
"2013-08-04 15:00","2013","08","04","15:00","**","22.3","","16.7","","70","","29","","13","","32.2","","101.52","","27","","","","NA"
"2013-08-04 16:00","2013","08","04","16:00","**","21.9","","15.6","","67","","26","","14","","32.2","","101.46","","26","","","","Mainly Clear"
"2013-08-04 17:00","2013","08","04","17:00","**","22.0","","16.1","","69","","28","","11","","32.2","","101.40","","27","","","","NA"
"2013-08-04 18:00","2013","08","04","18:00","**","21.1","","15.7","","71","","24","","8","","32.2","","101.38","","26","","","","NA"
"2013-08-04 19:00","2013","08","04","19:00","**","20.4","","16.7","","79","","22","","5","","32.2","","101.37","","25","","","","Mainly Clear"
"2013-08-04 20:00","2013","08","04","20:00","**","19.5","","16.0","","80","","22","","5","","32.2","","101.40","","","","","","NA"
"2013-08-04 21:00","2013","08","04","21:00","**","19.0","","14.9","","77","","13","","6","","32.2","","101.46","","","","","","NA"
"2013-08-04 22:00","2013","08","04","22:00","**","19.2","","14.3","","73","","15","","7","","32.2","","101.44","","","","","","Mainly Clear"
"2013-08-04 23:00","2013","08","04","23:00","**","17.1","","14.8","","86","","10","","10","","32.2","","101.49","","","","","","NA"
"2013-08-05 00:00","2013","08","05","00:00","**","17.4","","14.7","","84","","9","","7","","32.2","","101.49","","","","","","NA"
"2013-08-05 01:00","2013","08","05","01:00","**","16.2","","14.2","","88","","2","","7","","32.2","","101.48","","","","","","Mainly Clear"
"2013-08-05 02:00","2013","08","05","02:00","**","15.6","","13.6","","88","","36","","3","","32.2","","101.47","","","","","","NA"
"2013-08-05 03:00","2013","08","05","03:00","**","15.1","","13.7","","91","","16","","7","","32.2","","101.46","","","","","","NA"
"2013-08-05 04:00","2013","08","05","04:00","**","15.7","","14.8","","94","","14","","4","","32.2","","101.48","","","","","","Mainly Clear"
"2013-08-05 05:00","2013","08","05","05:00","**","15.2","","14.1","","93","","17","","8","","32.2","","101.52","","","","","","NA"
"2013-08-05 06:00","2013","08","05","06:00","**","16.4","","15.0","","91","","14","","9","","32.2","","101.55","","","","","","NA"
"2013-08-05 07:00","2013","08","05","07:00","**","17.8","","15.3","","85","","11","","8","","32.2","","101.58","","","","","","Mainly Clear"
"2013-08-05 08:00","2013","08","05","08:00","**","19.6","","15.9","","79","","11","","6","","32.2","","101.58","","","","","","NA"
"2013-08-05 09:00","2013","08","05","09:00","**","20.5","","16.6","","78","","26","","12","","32.2","","101.60","","26","","","","NA"
"2013-08-05 10:00","2013","08","05","10:00","**","21.0","","17.1","","78","","25","","14","","32.2","","101.59","","26","","","","Mainly Clear"
"2013-08-05 11:00","2013","08","05","11:00","**","21.3","","17.2","","77","","24","","12","","32.2","","101.58","","27","","","","NA"
"2013-08-05 12:00","2013","08","05","12:00","**","22.0","","17.4","","75","","24","","9","","32.2","","101.56","","28","","","","NA"
"2013-08-05 13:00","2013","08","05","13:00","**","22.2","","16.6","","70","","25","","10","","32.2","","101.52","","27","","","","Mainly Clear"
"2013-08-05 14:00","2013","08","05","14:00","**","22.7","","16.4","","67","","25","","12","","32.2","","101.50","","28","","","","NA"
"2013-08-05 15:00","2013","08","05","15:00","**","22.2","","15.4","","65","","25","","12","","32.2","","101.44","","26","","","","NA"
"2013-08-05 16:00","2013","08","05","16:00","**","22.4","","16.8","","70","","23","","11","","32.2","","101.39","","28","","","","Mainly Clear"
"2013-08-05 17:00","2013","08","05","17:00","**","22.6","","15.3","","63","","23","","12","","32.2","","101.32","","27","","","","NA"
"2013-08-05 18:00","2013","08","05","18:00","**","22.3","","14.3","","60","","24","","5","","48.3","","101.29","","26","","","","NA"
"2013-08-05 19:00","2013","08","05","19:00","**","22.4","","16.3","","68","","31","","4","","48.3","","101.28","","27","","","","Mainly Clear"
"2013-08-05 20:00","2013","08","05","20:00","**","22.7","","13.1","","54","","12","","3","","48.3","","101.30","","26","","","","NA"
"2013-08-05 21:00","2013","08","05","21:00","**","19.0","","15.3","","79","","11","","12","","32.2","","101.32","","","","","","NA"
"2013-08-05 22:00","2013","08","05","22:00","**","18.3","","14.5","","78","","12","","6","","32.2","","101.34","","","","","","Mainly Clear"
"2013-08-05 23:00","2013","08","05","23:00","**","17.7","","13.9","","78","","14","","6","","32.2","","101.36","","","","","","NA"
"2013-08-06 00:00","2013","08","06","00:00","**","17.3","","14.4","","83","","13","","5","","32.2","","101.40","","","","","","NA"
"2013-08-06 01:00","2013","08","06","01:00","**","15.7","","12.7","","82","","13","","7","","32.2","","101.41","","","","","","Mainly Clear"
"2013-08-06 02:00","2013","08","06","02:00","**","15.6","","12.8","","83","","12","","8","","32.2","","101.42","","","","","","NA"
"2013-08-06 03:00","2013","08","06","03:00","**","14.4","","11.6","","83","","12","","10","","32.2","","101.42","","","","","","NA"
"2013-08-06 04:00","2013","08","06","04:00","**","14.3","","11.5","","83","","10","","7","","32.2","","101.44","","","","","","Mainly Clear"
"2013-08-06 05:00","2013","08","06","05:00","**","13.9","","11.5","","85","","9","","11","","48.3","","101.47","","","","","","NA"
"2013-08-06 06:00","2013","08","06","06:00","**","14.8","","12.5","","86","","11","","13","","48.3","","101.50","","","","","","NA"
"2013-08-06 07:00","2013","08","06","07:00","**","16.6","","13.2","","80","","15","","9","","48.3","","101.55","","","","","","Mainly Clear"
"2013-08-06 08:00","2013","08","06","08:00","**","18.5","","13.6","","73","","17","","7","","48.3","","101.56","","","","","","NA"
"2013-08-06 09:00","2013","08","06","09:00","**","19.4","","13.7","","69","","16","","7","","48.3","","101.57","","","","","","NA"
"2013-08-06 10:00","2013","08","06","10:00","**","20.9","","14.9","","68","","22","","5","","48.3","","101.56","","25","","","","Clear"
"2013-08-06 11:00","2013","08","06","11:00","**","21.6","","16.6","","73","","24","","14","","48.3","","101.54","","27","","","","NA"
"2013-08-06 12:00","2013","08","06","12:00","**","22.7","","16.1","","66","","23","","13","","48.3","","101.51","","27","","","","NA"
"2013-08-06 13:00","2013","08","06","13:00","**","22.9","","15.4","","62","","24","","14","","48.3","","101.48","","27","","","","Mainly Clear"
"2013-08-06 14:00","2013","08","06","14:00","**","23.2","","15.6","","62","","24","","14","","48.3","","101.43","","28","","","","NA"
"2013-08-06 15:00","2013","08","06","15:00","**","23.2","","14.9","","59","","24","","17","","48.3","","101.39","","27","","","","NA"
"2013-08-06 16:00","2013","08","06","16:00","**","23.0","","14.4","","58","","22","","15","","48.3","","101.35","","27","","","","Mainly Clear"
"2013-08-06 17:00","2013","08","06","17:00","**","23.6","","13.6","","53","","24","","6","","48.3","","101.33","","27","","","","NA"
"2013-08-06 18:00","2013","08","06","18:00","**","22.8","","14.2","","58","","24","","6","","48.3","","101.29","","26","","","","NA"
"2013-08-06 19:00","2013","08","06","19:00","**","21.6","","14.6","","64","","32","","7","","48.3","","101.25","","25","","","","Mostly Cloudy"
"2013-08-06 20:00","2013","08","06","20:00","**","19.5","","14.6","","73","","32","","7","","48.3","","101.27","","","","","","NA"
"2013-08-06 21:00","2013","08","06","21:00","**","19.5","","13.5","","68","","11","","13","","48.3","","101.30","","","","","","NA"
"2013-08-06 22:00","2013","08","06","22:00","**","18.0","","13.4","","74","","10","","11","","48.3","","101.31","","","","","","Mostly Cloudy"
"2013-08-06 23:00","2013","08","06","23:00","**","18.3","","13.0","","71","","11","","10","","48.3","","101.32","","","","","","NA"
"2013-08-07 00:00","2013","08","07","00:00","**","17.0","","12.8","","76","","10","","9","","48.3","","101.34","","","","","","NA"
"2013-08-07 01:00","2013","08","07","01:00","**","15.6","","13.3","","86","","10","","9","","48.3","","101.38","","","","","","Mainly Clear"
"2013-08-07 02:00","2013","08","07","02:00","**","16.5","","13.5","","82","","9","","8","","48.3","","101.41","","","","","","NA"
"2013-08-07 03:00","2013","08","07","03:00","**","15.5","","12.7","","83","","10","","12","","48.3","","101.43","","","","","","NA"
"2013-08-07 04:00","2013","08","07","04:00","**","15.6","","12.8","","83","","10","","10","","48.3","","101.42","","","","","","Mainly Clear"
"2013-08-07 05:00","2013","08","07","05:00","**","15.0","","12.4","","84","","14","","9","","48.3","","101.45","","","","","","NA"
"2013-08-07 06:00","2013","08","07","06:00","**","15.9","","12.9","","82","","10","","9","","48.3","","101.46","","","","","","NA"
"2013-08-07 07:00","2013","08","07","07:00","**","17.6","","13.0","","74","","14","","7","","48.3","","101.51","","","","","","Mostly Cloudy"
"2013-08-07 08:00","2013","08","07","08:00","**","19.5","","14.0","","70","","16","","6","","48.3","","101.54","","","","","","NA"
"2013-08-07 09:00","2013","08","07","09:00","**","20.4","","13.5","","64","","17","","6","","48.3","","101.55","","","","","","NA"
"2013-08-07 10:00","2013","08","07","10:00","**","21.3","","16.1","","72","","23","","13","","48.3","","101.55","","26","","","","Mainly Clear"
"2013-08-07 11:00","2013","08","07","11:00","**","22.9","","16.8","","68","","23","","15","","48.3","","101.53","","28","","","","NA"
"2013-08-07 12:00","2013","08","07","12:00","**","23.9","","15.5","","59","","23","","15","","48.3","","101.50","","28","","","","NA"
"2013-08-07 13:00","2013","08","07","13:00","**","23.8","","17.4","","67","","23","","19","","48.3","","101.50","","29","","","","Mainly Clear"
"2013-08-07 14:00","2013","08","07","14:00","**","24.4","","15.2","","56","","22","","17","","48.3","","101.45","","28","","","","NA"
"2013-08-07 15:00","2013","08","07","15:00","**","23.9","","13.0","","50","","23","","18","","48.3","","101.40","","27","","","","NA"
"2013-08-07 16:00","2013","08","07","16:00","**","24.0","","14.6","","55","","23","","17","","48.3","","101.38","","28","","","","Mainly Clear"
"2013-08-07 17:00","2013","08","07","17:00","**","24.5","","13.9","","51","","22","","10","","48.3","","101.36","","28","","","","NA"
"2013-08-07 18:00","2013","08","07","18:00","**","24.4","","14.1","","52","","22","","9","","48.3","","101.32","","28","","","","NA"
"2013-08-07 19:00","2013","08","07","19:00","**","23.7","","13.7","","53","","16","","8","","48.3","","101.29","","27","","","","Mainly Clear"
"2013-08-07 20:00","2013","08","07","20:00","**","21.3","","14.6","","65","","13","","12","","48.3","","101.34","","25","","","","NA"
"2013-08-07 21:00","2013","08","07","21:00","**","19.8","","13.1","","65","","10","","17","","48.3","","101.37","","","","","","NA"
"2013-08-07 22:00","2013","08","07","22:00","**","18.2","","13.1","","72","","10","","14","","48.3","","101.37","","","","","","Clear"
"2013-08-07 23:00","2013","08","07","23:00","**","17.0","","13.0","","77","","12","","8","","48.3","","101.40","","","","","","NA"
"2013-08-08 00:00","2013","08","08","00:00","**","16.5","","13.5","","82","","10","","12","","48.3","","101.43","","","","","","NA"
"2013-08-08 01:00","2013","08","08","01:00","**","15.6","","13.3","","86","","11","","15","","48.3","","101.45","","","","","","Clear"
"2013-08-08 02:00","2013","08","08","02:00","**","15.6","","13.3","","86","","9","","12","","48.3","","101.47","","","","","","NA"
"2013-08-08 03:00","2013","08","08","03:00","**","14.9","","13.3","","90","","10","","13","","48.3","","101.50","","","","","","NA"
"2013-08-08 04:00","2013","08","08","04:00","**","14.8","","13.5","","92","","11","","14","","48.3","","101.53","","","","","","Clear"
"2013-08-08 05:00","2013","08","08","05:00","**","14.6","","13.7","","94","","13","","18","","32.2","","101.55","","","","","","NA"
"2013-08-08 06:00","2013","08","08","06:00","**","15.4","","14.1","","92","","14","","16","","48.3","","101.60","","","","","","NA"
"2013-08-08 07:00","2013","08","08","07:00","**","15.6","","14.2","","91","","13","","20","","32.2","","101.63","","","","","","Cloudy"
"2013-08-08 08:00","2013","08","08","08:00","**","16.6","","14.5","","87","","13","","13","","48.3","","101.64","","","","","","NA"
"2013-08-08 09:00","2013","08","08","09:00","**","18.5","","14.8","","79","","13","","9","","48.3","","101.63","","","","","","NA"
"2013-08-08 10:00","2013","08","08","10:00","**","20.6","","14.8","","69","","1","","5","","48.3","","101.59","","","","","","Mainly Clear"
"2013-08-08 11:00","2013","08","08","11:00","**","23.4","","16.1","","63","","21","","11","","48.3","","101.55","","28","","","","NA"
"2013-08-08 12:00","2013","08","08","12:00","**","21.2","","17.3","","78","","23","","22","","48.3","","101.50","","27","","","","NA"
"2013-08-08 13:00","2013","08","08","13:00","**","23.0","","18.0","","73","","22","","18","","48.3","","101.46","","29","","","","Mainly Clear"
"2013-08-08 14:00","2013","08","08","14:00","**","23.6","","18.4","","72","","24","","15","","48.3","","101.43","","30","","","","NA"
"2013-08-08 15:00","2013","08","08","15:00","**","23.0","","16.4","","66","","23","","16","","48.3","","101.40","","28","","","","NA"
"2013-08-08 16:00","2013","08","08","16:00","**","23.4","","16.1","","63","","22","","15","","48.3","","101.37","","28","","","","Mainly Clear"
"2013-08-08 17:00","2013","08","08","17:00","**","23.7","","15.1","","58","","22","","9","","48.3","","101.33","","28","","","","NA"
"2013-08-08 18:00","2013","08","08","18:00","**","23.3","","16.2","","64","","22","","11","","48.3","","101.28","","28","","","","NA"
"2013-08-08 19:00","2013","08","08","19:00","**","22.5","","15.9","","66","","23","","9","","48.3","","101.27","","27","","","","Clear"
"2013-08-08 20:00","2013","08","08","20:00","**","20.7","","14.0","","65","","13","","11","","48.3","","101.30","","","","","","NA"
"2013-08-08 21:00","2013","08","08","21:00","**","18.8","","13.7","","72","","11","","14","","32.2","","101.32","","","","","","NA"
"2013-08-08 22:00","2013","08","08","22:00","**","18.1","","12.6","","70","","13","","10","","24.1","","101.32","","","","","","Clear"
"2013-08-08 23:00","2013","08","08","23:00","**","16.6","","13.2","","80","","10","","13","","24.1","","101.35","","","","","","NA"
"2013-08-09 00:00","2013","08","09","00:00","**","15.8","","11.8","","77","","11","","12","","24.1","","101.37","","","","","","NA"
"2013-08-09 01:00","2013","08","09","01:00","**","15.6","","11.2","","75","","12","","14","","24.1","","101.38","","","","","","Clear"
"2013-08-09 02:00","2013","08","09","02:00","**","16.1","","11.9","","76","","13","","19","","24.1","","101.38","","","","","","NA"
"2013-08-09 03:00","2013","08","09","03:00","**","15.0","","12.4","","84","","10","","10","","24.1","","101.37","","","","","","NA"
"2013-08-09 04:00","2013","08","09","04:00","**","14.3","","12.2","","87","","12","","9","","24.1","","101.35","","","","","","Clear"
"2013-08-09 05:00","2013","08","09","05:00","**","13.9","","12.1","","89","","15","","10","","32.2","","101.36","","","","","","NA"
"2013-08-09 06:00","2013","08","09","06:00","**","15.2","","13.1","","87","","14","","8","","32.2","","101.37","","","","","","NA"
"2013-08-09 07:00","2013","08","09","07:00","**","16.8","","13.0","","78","","11","","10","","48.3","","101.37","","","","","","Mainly Clear"
"2013-08-09 08:00","2013","08","09","08:00","**","18.9","","13.2","","69","","13","","9","","48.3","","101.38","","","","","","NA"
"2013-08-09 09:00","2013","08","09","09:00","**","21.6","","14.4","","63","","31","","7","","48.3","","101.32","","25","","","","NA"
"2013-08-09 10:00","2013","08","09","10:00","**","20.1","","15.4","","74","","23","","13","","48.3","","101.32","","","","","","Clear"
"2013-08-09 11:00","2013","08","09","11:00","**","21.2","","15.8","","71","","23","","14","","48.3","","101.28","","26","","","","NA"
"2013-08-09 12:00","2013","08","09","12:00","**","22.6","","16.9","","70","","25","","16","","48.3","","101.21","","28","","","","NA"
"2013-08-09 13:00","2013","08","09","13:00","**","23.0","","18.2","","74","","27","","15","","48.3","","101.16","","29","","","","Mainly Clear"
